idade,trabalha,horas_dia_num,impacto_relacoes,plataforma_mais_usada,horario_pico
15,Não,13.36,Piorou,TikTok,Noite
41,Sim,7.59,Melhorou,Facebook,Manhã
17,Sim,9.46,Piorou,Twitter,Noite
46,Não,8.44,Piorou,Facebook,Manhã
10,Não,10.25,Melhorou,TikTok,Tarde
50,Não,6.14,Sem Mudança,Facebook,Noite
47,Não,12.61,Melhorou,Instagram,Tarde
35,Sim,5.86,Piorou,YouTube,Noite
32,Sim,5.97,Piorou,TikTok,Noite
45,Não,13.54,Piorou,YouTube,Tarde
34,Sim,1.76,Melhorou,Instagram,Noite
51,Sim,4.73,Piorou,Twitter,Tarde
20,Sim,7.61,Sem Mudança,Twitter,Noite
32,Sim,2.39,Melhorou,TikTok,Noite
59,Não,6.05,Melhorou,Instagram,Tarde
49,Sim,3.02,Melhorou,YouTube,Manhã
52,Sim,1.87,Melhorou,Instagram,Manhã
45,Não,9.14,Melhorou,Instagram,Tarde
41,Não,8.43,Sem Mudança,TikTok,Noite
59,Não,9.49,Piorou,Facebook,Manhã
38,Sim,3.25,Sem Mudança,Instagram,Noite
29,Sim,9.46,Melhorou,Twitter,Noite
53,Sim,1.25,Melhorou,Instagram,Noite
28,Sim,6.02,Piorou,Twitter,Noite
23,Sim,9.67,Melhorou,YouTube,Noite
23,Sim,4.92,Melhorou,YouTube,Noite
41,Sim,4.81,Piorou,Twitter,Manhã
36,Sim,5.77,Melhorou,TikTok,Noite
35,Sim,3.64,Melhorou,Facebook,Noite
36,Sim,8.38,Melhorou,Twitter,Noite
42,Sim,4.53,Piorou,YouTube,Tarde
59,Sim,7.58,Sem Mudança,Instagram,Noite
39,Sim,9.7,Melhorou,Instagram,Noite
16,Sim,1.77,Melhorou,TikTok,Noite
53,Não,7.91,Piorou,YouTube,Manhã
50,Não,5.79,Piorou,Instagram,Manhã
32,Sim,3.63,Sem Mudança,Twitter,Noite
34,Sim,9.52,Melhorou,TikTok,Noite
41,Sim,7.07,Melhorou,Instagram,Noite
45,Sim,1.69,Piorou,Facebook,Manhã
24,Sim,1.61,Sem Mudança,Instagram,Noite
57,Sim,6.22,Melhorou,Instagram,Tarde
15,Não,8.25,Sem Mudança,YouTube,Manhã
20,Não,13.78,Melhorou,Twitter,Manhã
37,Sim,5.86,Sem Mudança,TikTok,Noite
23,Sim,4.91,Piorou,Instagram,Noite
48,Não,6.08,Sem Mudança,YouTube,Noite
37,Sim,2.94,Melhorou,Instagram,Noite
57,Não,11.77,Piorou,Instagram,Manhã
30,Sim,2.52,Sem Mudança,Facebook,Noite
49,Não,12.3,Sem Mudança,Instagram,Tarde
26,Sim,2.28,Piorou,Instagram,Noite
20,Não,11.16,Piorou,TikTok,Manhã
45,Não,10.16,Piorou,YouTube,Manhã
41,Sim,4.61,Melhorou,YouTube,Manhã
34,Sim,4.07,Sem Mudança,Twitter,Noite
42,Sim,6.1,Sem Mudança,Instagram,Tarde
17,Não,8.93,Piorou,Instagram,Tarde
42,Não,6.48,Melhorou,Facebook,Manhã
18,Não,8.97,Piorou,Instagram,Noite
30,Sim,2.68,Sem Mudança,Twitter,Noite
26,Sim,8.49,Sem Mudança,YouTube,Noite
21,Sim,7.71,Melhorou,Instagram,Noite
30,Sim,2.31,Melhorou,Instagram,Noite
19,Sim,2.61,Melhorou,TikTok,Noite
37,Sim,5.37,Sem Mudança,YouTube,Noite
42,Não,8.99,Piorou,YouTube,Tarde
34,Sim,9.04,Sem Mudança,Twitter,Noite
34,Sim,5.79,Piorou,TikTok,Noite
42,Não,8.46,Piorou,Twitter,Tarde
57,Não,4.06,Piorou,TikTok,Manhã
58,Sim,3.21,Melhorou,YouTube,Manhã
46,Não,9.29,Piorou,TikTok,Noite
46,Sim,1.64,Sem Mudança,Twitter,Noite
34,Sim,3.9,Piorou,TikTok,Noite
30,Sim,7.96,Melhorou,TikTok,Noite
50,Não,5.71,Sem Mudança,Twitter,Noite
29,Sim,5.84,Melhorou,Facebook,Noite
27,Sim,2.57,Piorou,YouTube,Noite
19,Não,9.9,Melhorou,Twitter,Noite
37,Sim,8.98,Melhorou,YouTube,Noite
38,Sim,8.31,Sem Mudança,Facebook,Noite
39,Sim,9.7,Sem Mudança,Instagram,Noite
45,Não,9.61,Melhorou,TikTok,Noite
21,Sim,7.43,Melhorou,YouTube,Noite
47,Sim,2.13,Piorou,TikTok,Noite
31,Sim,8.31,Piorou,YouTube,Noite
59,Sim,4.33,Sem Mudança,Facebook,Manhã
38,Sim,1.76,Sem Mudança,Instagram,Noite
10,Não,12.77,Piorou,Twitter,Tarde
35,Sim,7.93,Sem Mudança,Twitter,Noite
57,Não,11.28,Piorou,TikTok,Noite
12,Não,8.04,Sem Mudança,YouTube,Manhã
48,Sim,3.71,Piorou,YouTube,Tarde
33,Sim,6.68,Piorou,Facebook,Noite
14,Não,9.85,Sem Mudança,YouTube,Manhã
13,Não,8.94,Melhorou,YouTube,Manhã
18,Não,8.36,Melhorou,Facebook,Manhã
57,Sim,5.36,Piorou,Twitter,Noite
38,Sim,5.45,Melhorou,Twitter,Noite
33,Sim,5.38,Sem Mudança,Twitter,Noite
11,Não,11.88,Piorou,YouTube,Manhã
58,Não,11.71,Piorou,Facebook,Tarde
21,Não,12.39,Piorou,Facebook,Manhã
17,Sim,6.4,Piorou,TikTok,Noite
43,Não,7.64,Piorou,YouTube,Manhã
19,Sim,5.66,Sem Mudança,TikTok,Noite
44,Sim,4.24,Piorou,TikTok,Manhã
14,Não,12.71,Piorou,Instagram,Tarde
31,Sim,6.69,Sem Mudança,Facebook,Noite
49,Não,11.11,Piorou,YouTube,Manhã
47,Não,11.14,Melhorou,YouTube,Manhã
52,Sim,3.04,Sem Mudança,YouTube,Noite
14,Não,10.37,Melhorou,Instagram,Noite
36,Sim,4.51,Sem Mudança,Instagram,Noite
23,Sim,3.41,Melhorou,Instagram,Noite
57,Sim,7.98,Piorou,Twitter,Tarde
17,Sim,4.46,Melhorou,Instagram,Noite
14,Não,11.07,Sem Mudança,Twitter,Tarde
41,Não,5.43,Piorou,Instagram,Manhã
23,Sim,7.93,Sem Mudança,Facebook,Noite
16,Não,12.73,Sem Mudança,Instagram,Noite
24,Sim,5.18,Piorou,YouTube,Noite
53,Não,12.37,Piorou,Instagram,Manhã
37,Sim,9.27,Piorou,Instagram,Noite
22,Não,13.75,Melhorou,Facebook,Manhã
41,Sim,3.0,Piorou,Facebook,Tarde
19,Sim,3.37,Melhorou,YouTube,Noite
50,Não,12.68,Piorou,Twitter,Noite
14,Não,12.24,Melhorou,TikTok,Noite
45,Sim,4.51,Piorou,Facebook,Noite
36,Sim,3.97,Sem Mudança,Facebook,Noite
12,Não,11.4,Melhorou,YouTube,Tarde
52,Não,5.23,Melhorou,Twitter,Noite
32,Sim,5.44,Piorou,YouTube,Noite
48,Sim,7.12,Sem Mudança,YouTube,Manhã
36,Sim,5.23,Melhorou,TikTok,Noite
42,Não,10.47,Piorou,Instagram,Manhã
14,Não,11.09,Piorou,YouTube,Manhã
11,Não,11.73,Piorou,TikTok,Noite
42,Não,13.39,Piorou,TikTok,Manhã
32,Sim,8.65,Piorou,Twitter,Noite
15,Não,8.16,Piorou,TikTok,Noite
30,Sim,4.43,Sem Mudança,TikTok,Noite
11,Não,11.34,Melhorou,Twitter,Manhã
38,Sim,3.39,Piorou,Facebook,Noite
49,Sim,6.52,Piorou,Facebook,Tarde
31,Sim,9.79,Melhorou,Twitter,Noite
22,Sim,1.3,Melhorou,Twitter,Noite
39,Sim,9.04,Melhorou,TikTok,Noite
52,Sim,2.88,Sem Mudança,Facebook,Manhã
45,Não,5.76,Sem Mudança,Instagram,Tarde
23,Sim,5.78,Sem Mudança,TikTok,Noite
37,Sim,4.93,Melhorou,Instagram,Noite
36,Sim,8.46,Piorou,YouTube,Noite
54,Não,14.28,Sem Mudança,TikTok,Tarde
47,Não,6.06,Piorou,TikTok,Tarde
29,Sim,1.2,Piorou,YouTube,Noite
31,Sim,8.01,Melhorou,Facebook,Noite
38,Sim,9.47,Melhorou,YouTube,Noite
27,Sim,7.41,Sem Mudança,TikTok,Noite
54,Não,5.05,Sem Mudança,Facebook,Tarde
58,Sim,4.53,Piorou,Instagram,Tarde
18,Sim,3.87,Sem Mudança,Instagram,Noite
44,Sim,3.13,Melhorou,TikTok,Manhã
47,Não,8.67,Melhorou,Facebook,Manhã
52,Sim,6.05,Sem Mudança,Facebook,Noite
16,Não,11.76,Melhorou,Instagram,Manhã
27,Sim,7.95,Melhorou,TikTok,Noite
53,Não,13.84,Piorou,Facebook,Tarde
47,Sim,2.26,Piorou,Instagram,Tarde
39,Sim,1.66,Sem Mudança,YouTube,Noite
58,Não,10.25,Piorou,TikTok,Manhã
53,Não,6.75,Melhorou,TikTok,Tarde
38,Sim,3.68,Piorou,YouTube,Noite
45,Sim,7.64,Sem Mudança,TikTok,Manhã
17,Não,13.49,Piorou,Instagram,Manhã
58,Sim,1.48,Melhorou,TikTok,Tarde
24,Sim,4.84,Piorou,YouTube,Noite
50,Sim,3.59,Piorou,Twitter,Manhã
31,Sim,7.97,Sem Mudança,YouTube,Noite
42,Não,6.19,Sem Mudança,YouTube,Noite
49,Sim,2.97,Piorou,Facebook,Noite
22,Não,12.25,Melhorou,Twitter,Tarde
12,Não,14.18,Melhorou,YouTube,Manhã
30,Sim,8.37,Piorou,Twitter,Noite
15,Não,11.8,Melhorou,Instagram,Tarde
31,Sim,5.71,Sem Mudança,Facebook,Noite
43,Sim,3.1,Sem Mudança,YouTube,Manhã
38,Sim,3.55,Piorou,Instagram,Noite
21,Não,8.03,Sem Mudança,YouTube,Noite
27,Sim,7.98,Sem Mudança,YouTube,Noite
23,Sim,3.56,Melhorou,Instagram,Noite
15,Não,12.75,Melhorou,YouTube,Tarde
47,Sim,6.26,Melhorou,YouTube,Manhã
35,Sim,7.44,Sem Mudança,Twitter,Noite
58,Não,14.16,Melhorou,TikTok,Noite
53,Não,5.45,Sem Mudança,TikTok,Noite
37,Sim,9.59,Piorou,Twitter,Noite
37,Sim,5.73,Piorou,YouTube,Noite
25,Sim,9.56,Melhorou,TikTok,Noite
48,Sim,2.0,Sem Mudança,TikTok,Noite
50,Sim,4.53,Sem Mudança,Instagram,Manhã
55,Sim,1.81,Sem Mudança,Facebook,Tarde
51,Sim,5.67,Melhorou,Instagram,Manhã
26,Sim,3.93,Piorou,TikTok,Noite
38,Sim,9.97,Piorou,Facebook,Noite
21,Não,13.86,Piorou,Facebook,Noite
48,Não,13.94,Sem Mudança,Instagram,Tarde
41,Sim,7.72,Sem Mudança,Facebook,Noite
25,Sim,2.11,Piorou,Instagram,Noite
47,Não,13.27,Piorou,Instagram,Noite
48,Sim,1.89,Piorou,Twitter,Manhã
46,Não,10.13,Sem Mudança,TikTok,Tarde
49,Não,5.98,Sem Mudança,Twitter,Tarde
53,Não,4.93,Sem Mudança,Twitter,Tarde
31,Sim,6.14,Sem Mudança,YouTube,Noite
35,Sim,5.52,Piorou,Facebook,Noite
38,Sim,1.04,Sem Mudança,Facebook,Noite
52,Não,7.72,Piorou,Instagram,Tarde
15,Não,12.03,Piorou,YouTube,Noite
16,Sim,9.3,Piorou,Facebook,Noite
14,Não,10.27,Piorou,Twitter,Noite
44,Sim,6.48,Piorou,Instagram,Noite
40,Sim,6.62,Piorou,TikTok,Noite
10,Não,9.05,Sem Mudança,Twitter,Tarde
36,Sim,4.58,Sem Mudança,YouTube,Noite
35,Sim,9.26,Sem Mudança,Twitter,Noite
39,Sim,2.68,Piorou,Twitter,Noite
23,Sim,7.2,Melhorou,Instagram,Noite
45,Não,5.59,Piorou,YouTube,Noite
17,Não,8.88,Melhorou,YouTube,Manhã
46,Não,9.07,Piorou,Instagram,Noite
58,Não,7.47,Piorou,Facebook,Noite
55,Não,11.03,Melhorou,YouTube,Tarde
25,Sim,4.08,Melhorou,Instagram,Noite
32,Sim,2.12,Sem Mudança,Instagram,Noite
28,Sim,7.1,Sem Mudança,TikTok,Noite
48,Sim,6.94,Piorou,TikTok,Manhã
43,Sim,1.66,Piorou,TikTok,Manhã
24,Sim,5.56,Sem Mudança,YouTube,Noite
28,Sim,7.09,Sem Mudança,Instagram,Noite
36,Sim,4.12,Melhorou,Facebook,Noite
35,Sim,4.86,Sem Mudança,Instagram,Noite
25,Sim,3.58,Sem Mudança,Facebook,Noite
55,Sim,1.1,Piorou,Instagram,Noite
55,Não,10.07,Sem Mudança,YouTube,Noite
27,Sim,5.78,Piorou,Facebook,Noite
56,Sim,2.41,Piorou,Instagram,Manhã
30,Sim,2.16,Sem Mudança,Twitter,Noite
21,Sim,6.42,Melhorou,YouTube,Noite
36,Sim,6.81,Piorou,Instagram,Noite
20,Não,11.71,Piorou,YouTube,Manhã
30,Sim,5.99,Melhorou,YouTube,Noite
32,Sim,8.29,Piorou,YouTube,Noite
38,Sim,6.27,Melhorou,YouTube,Noite
39,Sim,8.31,Sem Mudança,Facebook,Noite
55,Sim,1.12,Melhorou,Instagram,Noite
51,Não,9.88,Piorou,TikTok,Noite
45,Não,6.95,Melhorou,Facebook,Tarde
43,Não,10.81,Melhorou,Facebook,Manhã
40,Sim,3.01,Piorou,TikTok,Noite
42,Sim,2.42,Melhorou,Facebook,Tarde
35,Sim,7.31,Piorou,YouTube,Noite
10,Não,13.23,Piorou,Facebook,Tarde
40,Sim,8.19,Melhorou,TikTok,Noite
11,Não,12.3,Piorou,Instagram,Manhã
23,Sim,5.22,Sem Mudança,Instagram,Noite
14,Não,10.32,Melhorou,Facebook,Noite
50,Não,4.68,Melhorou,Instagram,Tarde
46,Sim,3.63,Piorou,Twitter,Noite
13,Não,10.33,Sem Mudança,YouTube,Manhã
42,Sim,7.4,Melhorou,Facebook,Tarde
17,Sim,9.5,Melhorou,TikTok,Noite
35,Sim,2.22,Melhorou,Instagram,Noite
26,Sim,7.11,Piorou,TikTok,Noite
18,Não,9.91,Sem Mudança,TikTok,Noite
16,Não,8.07,Sem Mudança,YouTube,Noite
55,Sim,5.21,Piorou,Facebook,Manhã
13,Não,14.65,Piorou,Instagram,Tarde
30,Sim,6.75,Piorou,Instagram,Noite
16,Sim,7.47,Sem Mudança,Instagram,Noite
29,Sim,5.31,Melhorou,YouTube,Noite
47,Não,6.59,Piorou,Facebook,Tarde
26,Sim,7.22,Melhorou,Facebook,Noite
32,Sim,1.65,Piorou,Facebook,Noite
20,Sim,4.2,Piorou,Facebook,Noite
56,Não,6.08,Sem Mudança,YouTube,Manhã
15,Não,8.81,Sem Mudança,TikTok,Manhã
30,Sim,7.49,Sem Mudança,Facebook,Noite
14,Não,13.64,Sem Mudança,Instagram,Tarde
32,Sim,7.14,Piorou,Twitter,Noite
22,Não,8.7,Piorou,YouTube,Tarde
43,Não,9.54,Melhorou,Instagram,Tarde
21,Não,8.71,Melhorou,YouTube,Manhã
51,Não,13.14,Melhorou,TikTok,Manhã
28,Sim,1.53,Melhorou,TikTok,Noite
16,Sim,3.65,Piorou,Twitter,Noite
58,Não,6.15,Sem Mudança,Facebook,Tarde
26,Sim,5.59,Melhorou,TikTok,Noite
46,Não,4.71,Piorou,TikTok,Noite
22,Não,13.32,Melhorou,TikTok,Noite
18,Sim,1.84,Melhorou,Facebook,Noite
15,Não,14.28,Melhorou,Twitter,Noite
22,Não,10.49,Sem Mudança,TikTok,Noite
22,Sim,4.77,Piorou,Facebook,Noite
43,Sim,2.59,Melhorou,YouTube,Manhã
20,Não,12.44,Melhorou,TikTok,Manhã
46,Sim,1.37,Piorou,YouTube,Noite
44,Sim,7.21,Melhorou,Instagram,Manhã
20,Não,10.41,Sem Mudança,Twitter,Tarde
22,Sim,9.7,Melhorou,Instagram,Noite
12,Não,14.34,Melhorou,Instagram,Manhã
24,Sim,2.93,Piorou,Twitter,Noite
58,Sim,6.41,Melhorou,YouTube,Tarde
31,Sim,7.39,Sem Mudança,YouTube,Noite
27,Sim,8.69,Sem Mudança,Twitter,Noite
35,Sim,7.05,Sem Mudança,Twitter,Noite
48,Sim,1.28,Melhorou,TikTok,Noite
47,Sim,7.06,Melhorou,Instagram,Tarde
53,Não,13.81,Melhorou,YouTube,Noite
57,Sim,1.5,Piorou,Twitter,Manhã
58,Não,14.65,Melhorou,TikTok,Manhã
12,Não,9.74,Sem Mudança,YouTube,Manhã
48,Sim,6.04,Sem Mudança,YouTube,Manhã
31,Sim,8.81,Sem Mudança,Facebook,Noite
55,Não,8.86,Piorou,YouTube,Tarde
42,Sim,4.27,Piorou,TikTok,Tarde
25,Sim,1.99,Melhorou,Twitter,Noite
25,Sim,6.54,Melhorou,Instagram,Noite
13,Não,12.51,Melhorou,Facebook,Tarde
59,Sim,5.03,Melhorou,TikTok,Tarde
53,Não,10.8,Piorou,Facebook,Noite
50,Não,12.12,Sem Mudança,YouTube,Manhã
54,Sim,6.57,Sem Mudança,YouTube,Manhã
21,Sim,9.68,Melhorou,TikTok,Noite
15,Não,10.08,Sem Mudança,Twitter,Noite
41,Sim,1.08,Sem Mudança,TikTok,Noite
27,Sim,5.38,Piorou,YouTube,Noite
54,Sim,5.65,Piorou,TikTok,Noite
21,Não,12.02,Piorou,Twitter,Tarde
17,Sim,5.21,Sem Mudança,YouTube,Noite
47,Sim,7.07,Melhorou,Facebook,Manhã
49,Não,4.71,Piorou,Twitter,Noite
17,Não,9.33,Piorou,Facebook,Noite
33,Sim,1.19,Melhorou,YouTube,Noite
17,Não,9.41,Piorou,Facebook,Tarde
47,Sim,6.06,Piorou,TikTok,Tarde
26,Sim,5.4,Piorou,Twitter,Noite
17,Não,10.1,Piorou,Instagram,Noite
55,Não,4.98,Melhorou,Instagram,Tarde
56,Sim,1.82,Piorou,Facebook,Noite
42,Sim,6.87,Piorou,Twitter,Manhã
33,Sim,9.17,Piorou,TikTok,Noite
50,Sim,3.87,Melhorou,TikTok,Noite
35,Sim,2.48,Sem Mudança,Twitter,Noite
